,0
0,Alabama
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Kentucky
10,Maryland
11,Minnesota
12,Mississippi
13,Missouri
14,Nebraska
15,New Jersey
16,Oklahoma
17,Pennsylvania
18,Rhode Island
19,Tennessee
20,Utah
21,Vermont
22,West Virginia
23,Wisconsin
